"type","city","street","cost","area"
"3er WG","Berlin Charlottenburg","Nehringstraße","450","24"
"3er WG","Berlin Mitte","Otawistr. 32","697","17"
"3er WG","Berlin Weißensee","Bitburger Str.","600","26"
"2er WG","Berlin Wilmersdorf","Friedenau","450","15"
"3er WG","Berlin Mitte","Reinhardtstrasse 2, 10","450","20"
"2er WG","Berlin Reinickendorf","General-Woyna-Straße","421","23"
"3er WG","Berlin Kreuzberg","Heinrich-Heine-Strasse 36","535","12"
"3er WG","Berlin Prenzlauer Berg","Isländische Str. 3","470","21"
"3er WG","Berlin Pankow","Dietzgenstrasse 137","390","18"
"2er WG","Berlin Weißensee","Falkenberger Str. XX","490","14"
"5er WG","Berlin Moabit","Stephanstraße","287","19"
"6er WG","Berlin Wedding","Bodestraße","470","10"
"3er WG","Berlin Mitte","Otawistr. 32","647","17"
"3er WG","Berlin Mitte","Otawistr. 32","697","17"
"3er WG","Berlin Mitte","Otawistr. 32","647","17"
"3er WG","Berlin Mitte","Otawistr. 32","647","17"
"2er WG","Berlin Tempelhof","Manteuffelstr. xx","500","20"
"2er WG","Berlin Neukölln","Weigandufer 26","400","19"
"3er WG","Berlin Schöneberg","Potsdamer Straße","450","16"
"2er WG","Berlin Weißensee","Roelckestr.","500","25"
"4er WG","Berlin Neukölln","Kranoldstraße","465","25"
"3er WG","Berlin Prenzlauer Berg","Erich Weinert Str.","680","20"
"4er WG","Berlin Johannisthal","Herweghstraße","525","22"
"5er WG","Berlin Schöneberg","Martin-Luther-Straße 15","530","12"
"5er WG","Berlin Schöneberg","Martin-Luther-Straße 15","510","10"
"5er WG","Berlin Schöneberg","Martin-Luther-Straße 15","530","12"
"5er WG","Berlin Schöneberg","Martin-Luther-Straße 15","540","12"
"3er WG","Berlin Kreuzberg","Checkpoint Charlie","580","16"
"3er WG","Berlin Neukölln Süd","Laubsängerweg","400","14"
"2er WG","Berlin Neukölln","Flughafenstr.","520","17"
"1-Zimmer-Wohnung","Berlin Mitte","Kastanienallee","880","35"
"2er WG","Berlin Prenzlauer Berg","goehrener strasse 8a","570","25"
"2er WG","Berlin Friedrichshain","Boxhagener Str.","480","25"
"3er WG","Berlin Treptow","Mosischstr. 3a","300","15"
"2er WG","Berlin Kreuzberg","Yorckstraße","450","15"
"1-Zimmer-Wohnung","Berlin Wedding","Soldinerstrasse","740","49"
"1-Zimmer-Wohnung","Berlin Berlin","Straßmannstraße, 26","950","35"
"4er WG","Berlin Lichtenrade","Wünsdorfer Str. 113","50","14"
"2er WG","Berlin Prenzlauer Berg Friedrich...","Greifswalder Strasse 228","690","22"
"1-Zimmer-Wohnung","Berlin mitte/prenzlberg","arkonaplatz 5","890","45"
"2er WG","Berlin Treptow","Wildenbruchstrasse","600","16"
"2er WG","Berlin Köpenick","Puchanstraße 40","466","20"
"2er WG","Berlin Zehlendorf","Am S-Bahnhof Sundgauer Str.","585","22"
"4er WG","Berlin Friedrichshain","Friedrichshain","350","1"
"2er WG","Berlin Moabit","Thomasiusstr. 23","280","15"
"3er WG","Berlin Kreuzberg","Karl-kunger-Strasse 47","500","25"
"4er WG","Berlin Kreuzberg","näheMehringdamm","400","12"
"3er WG","Berlin Friedrichshain","Kinzigstrasse 7","500","14"
"2er WG","Berlin Mitte","Rheinsbergerstraße Berlin","400","14"
"2er WG","Berlin Neukölln","Britzer Damm 31","545","20"
"4er WG","Berlin Biesdorf","Wettersternweg 18","550","13"
"2er WG","Berlin Neukölln","Saalestr","520","18"
"3er WG","Berlin Prenzlauer Berg","Ostseestr. 38","480","20"
"2er WG","Berlin Adlershof","Abstraße 6","500","15"
"3er WG","Berlin Kreuzberg","heimstrasse","400","12"
"2er WG","Berlin Dahlem","Saßnitzer Str.","515","22"
"2er WG","Berlin Schöneweide","Brückenstraße","450","25"
"2er WG","Berlin Tiergarten","Lübecker Str. 44","600","24"
"2er WG","Berlin Berlin","Gleditschstraße","515","15"
"3er WG","Berlin Altglienicke","Markulfweg","350","17"
"2er WG","Berlin Wilmersdorf","Wilhelmsaue 6","500","18"
"2er WG","Berlin Friedrichshain","Boxhagener Str","600","14"
"1-Zimmer-Wohnung","Berlin Friedenau","Wendlandzeile 2","800","45"
"2er WG","Berlin Wedding","Otawistraße 17","620","24"
"1-Zimmer-Wohnung","Berlin Mitte","Anklamerstrasse, 16","900","24"
"3er WG","Berlin Steglitz","birkbusch str 7","370","17"
"2er WG","Berlin Prenzlauer Berg","Winsviertel","650","25"
"2er WG","Berlin Kreuzberg","Wrangelstr., 42","550","15"
"2er WG","Berlin Neukölln","Am-Bhf-Neukölln","500","21"
"2er WG","Berlin Moabit","Huttenstraße","400","14"
"7er WG","Berlin Niederschöneweide","Oberspreestr","450","14"
"2er WG","Berlin Lichtenberg","Wotanstraße","550","17"
"3er WG","Berlin Oberschöneweide","D.straße","480","18"
"3er WG","Berlin Wedding","Seestraße","550","25"
"3er WG","Berlin MITTE","Nordufer","600","22"
"3er WG","Berlin Mitte","Otawistr. 32","697","17"
"2er WG","Berlin Schöneberg","Luitpoldstr. 17","353","14"
"3er WG","Berlin Steglitz","Hindenburgdamm 55","475","17"
"1-Zimmer-Wohnung","Berlin Prenzlauer Berg","Knaackstrasse","695","50"
"2er WG","Berlin Mitte","Novalisstr 17","550","13"
"1-Zimmer-Wohnung","Berlin Wedding","Guineastr. 11","750","50"
"2er WG","Berlin Prenzlauer Berg","Gubitzstr","605","23"
"3er WG","Berlin Spandau","Therese-Giehse-Str. 1","420","12"
"3er WG","Berlin Mitte","Otawistr. 32","647","17"
"3er WG","Berlin Mitte","Otawistr. 32","697","17"
"1-Zimmer-Wohnung","Berlin Friedrichshain","Petersburgerstrasse 92","980","60"
"5er WG","Berlin Prenzlauer Berg","Danziger Straße 82","435","25"
"17er WG","Berlin Prenzlauer Berg","Langhansstraße 21","620","17"
"8er WG","Berlin Prenzlauer Berg","Danziger Straße 82","420","24"
"17er WG","Berlin Prenzlauer Berg","Langhansstraße 21","369","28"
"2er WG","Berlin Neukölln","Warthestraße 42b","570","16"
"5er WG","Berlin Friedrichshain-Kreuzberg","Wrangelstraße 9","600","24"
"2er WG","Berlin Mitte","Rostockerstr. 39","600","25"
"2er WG","Berlin Berlin","Rigaer Str","450","10"
"1-Zimmer-Wohnung","Berlin Berlin","Jülicher Str. 16","672","22"
"2er WG","Berlin Neukölln","Maybachufer 3","600","18"
"3er WG","Berlin Kreuzberg","Oppelnerstraße","450","10"
"4er WG","Berlin schönefeld","bertolt brecht allee 11","550","16"
"2er WG","Berlin schönefeld","Bertolt Brecht Allee 41","750","60"
"2er WG","Berlin Friedrichshain","Döringstraße 2","960","18"
"2er WG","Berlin Alt-Hohenschönhausen","Wriezener Str.0","520","13"
"1-Zimmer-Wohnung","Berlin Prenzlauer Berg","Sonnenburger Strasse","1090","43"
"3er WG","Berlin Charlottenburg","Kantstraße","460","17"
"3er WG","Berlin Mitte","Thurneysserstr. 6","549","27"
"1-Zimmer-Wohnung","Berlin Neukölln","Sonnenallee 147","1000","45"
"7er WG","Berlin Charlottenburg","Nehringstr. 3a","399","9"
"2er WG","Berlin Friedenau","Geisenheimer Straße","460","20"
"2er WG","Berlin Reinickendorf","Havelplatz","499","16"
"3er WG","Berlin Reinickendorf","Fontanestrasse 110","460","16"
"3er WG","Berlin Prenzlauer Berg","Wichertstr./Helmholtzplatz","620","21"
"1-Zimmer-Wohnung","Berlin Schöneberg","langenscheidtstr","450","12"
"2er WG","Berlin Pankow","Kreuzstrasse","500","15"
"1-Zimmer-Wohnung","Berlin Steglitz-Zehlendorf","Unter den Eichen 96","839","35"
"1-Zimmer-Wohnung","Berlin Steglitz-Zehlendorf","Unter den Eichen 96","679","17"
"2er WG","Berlin Friedrichshain","Niederbarnimstraße 14","342","21"
"3er WG","Berlin Prenzlauer Berg","Neumannstrasse 125","500","22"
"11er WG","Berlin Grunewald","Lynarstraße 21","400","20"
"11er WG","Berlin Grunewald","Lynarstraße 21","245","20"
"3er WG","Berlin Friedrichshain","Bersarinplatz","550","21"
"2er WG","Berlin Neukölln","Rübelandstraße 11","450","13"
"3er WG","Berlin Prenzlauer Berg","Dunckerstraße","660","24"
"2er WG","Berlin Mitte/Wedding","Schönwalder Straße 25","17","14"
"4er WG","Berlin Mitte","Köthener Straße 36","800","13"
"1-Zimmer-Wohnung","Berlin Schmargendorf","Breite Straße 42, 42A, 42B","799","35"
"8er WG","Berlin Lankwitz","Leonorenstraße 99","550","22"
"2er WG","Berlin Friedrichshain","Weidenweg. 79","200","12"
"3er WG","Berlin Kreuzberg","Nostitzstraße","500","25"
"5er WG","Berlin Wilmersdorf","Uhlandstraße 142","800","20"
"1-Zimmer-Wohnung","Berlin Kreuzberg","Köpenicker Straße 43","715","19"
"4er WG","Berlin Mitte","torstrasse, 207","430","13"
"3er WG","Berlin Friedrichshain","Richard-Sorge-Straße 25a","800","16"
"2er WG","Berlin Reinickendorf","Herbststraße","500","25"
"3er WG","Berlin Moabit","Lübecker Strasse","270","12"
"3er WG","Berlin Halensee","Katharinenstraße","475","14"
"3er WG","Berlin Wedding","Hochstraße 14a","564","16"
"2er WG","Berlin Friedrichshain","Karl-Marx-Allee","550","22"
"2er WG","Berlin Köpenick","Flemmingstr.38","15","40"
"2er WG","Berlin Friedrichshain","Frankfurter Tor","595","25"
"2er WG","Berlin Mitte","Eichendorffst","320","14"
"2er WG","Berlin Kreuzberg","Zossener","550","40"
"5er WG","Berlin Neukölln","Hermannstrasse","550","17"
"4er WG","Berlin Lichtenberg","Heiligenberger Strasse","390","13"
"2er WG","Berlin Lichtenrade","Lessingstr.","400","9"
"9er WG","Berlin Lichterfelde","Drakestraße 17","300","17"
"2er WG","Berlin Kreuzberg","Reichenberger Str.","485","11"
"3er WG","Berlin Berlin","Leipzigerstr.44","416","17"
"3er WG","Berlin Schöneberg","Quartiersweg 8","560","13"
"2er WG","Berlin Moabit","Klarenbachstr.","590","22"
"4er WG","Berlin Kreuzberg","Tempelhofer Ufer14","330","14"
"2er WG","Berlin Friedrichshain","Mühsamstr. 60","480","15"
"2er WG","Berlin Berlin","Göllweg 9A","300","12"
"1-Zimmer-Wohnung","Berlin Kreuzberg","Adalbertstraße 4","550","37"
"3er WG","Berlin Kreuzberg","Schönleinstraße","300","10"
"4er WG","Berlin Kreuzberg","Wrangelstraße 40","510","8"
"3er WG","Berlin Gesundbrunnen","Ritterlandweg 53","470","10"
"1-Zimmer-Wohnung","Berlin Prenzlauer Berg","Erich-Weinert Str.","550","48"
"5er WG","Berlin Neukölln","Richardstraße 56a","510","11"
"4er WG","Berlin Adlershof","Hoffmannstraße 17","400","7"
"5er WG","Berlin Pankow","Damerowstraße 48","490","10"
"5er WG","Berlin Neukölln","Hermannstraße 40","500","9"
"5er WG","Berlin Neukölln","Hermannstraße 40","500","9"
"8er WG","Berlin Charlottenburg-Wilmersdorf","Hohenzollerndamm 61","490","10"
"6er WG","Berlin Zehlendorf","Riemeisterstraße 4","350","25"
"6er WG","Berlin Zehlendorf","Riemeisterstraße 4","350","25"
"2er WG","Berlin Friedrichshain-Kreuzberg","Planufer 71","450","20"
"2er WG","Berlin Wedding","Togostraße 3","525","11"
"2er WG","Berlin Steglitz-Zehlendorf","Winfriedstraße","430","13"
"3er WG","Berlin Kreuzberg","Adalbertstr.","520","22"
"4er WG","Berlin Kreuzberg","Grossbeerenstrasse","390","12"
"4er WG","Berlin Weißensee","Gustav-Adolf Straße","415","18"
"2er WG","Berlin Berlin Rohrdamm","Rohrdamm 55","550","25"
"3er WG","Berlin Moabit","Paulstr.","580","17"
"3er WG","Berlin Neukölln","Juliusstr. 1","380","10"
"4er WG","Berlin Friedrichshain-Kreuzberg","Mehringplatz","400","20"
