"type","city","street","cost","area"
"2er WG","Hamburg Hohenfelde","Lübecker Straße","640","17"
"1-Zimmer-Wohnung","Hamburg Langenhorn","Fibigerstraße","529","30"
"2er WG","Hamburg jendorf zwischen Billsted...","Haferblöcken 13","600","25"
"15er WG","Hamburg hamburg.","Hoisdorfer Landsr 97 a","361","14"
"2er WG","Hamburg TUHH-Nähe","Niedersachsenweg","395","14"
"1-Zimmer-Wohnung","Hamburg Altona-Altstadt","Große Bergstraße 160","778","36"
"2er WG","Hamburg Bahrenfeld","Friedesallee","590","15"
"2er WG","Hamburg Winterhude","Wiesendamm","482","12"
"3er WG","Hamburg Hoheluft-West/Eimsbüttel","Gärtnerstraße 26","580","20"
"3er WG","Hamburg Wandsbek","Karl-Müller-Ring","490","16"
"3er WG","Hamburg Hamburg","Holstentwiete, 29","480","13"
"3er WG","Hamburg Eimsbüttel","Stellinger Weg 39","490","12"
"2er WG","Hamburg Bergedorf","Holtenklinker Str.","460","16"
"7er WG","Hamburg Rotherbaum","Bundesstraße","500","16"
"4er WG","Hamburg Eimsbüttel","Försterweg 31","455","16"
"3er WG","Hamburg Altona-Nord","Alsenstr.13","542","17"
"3er WG","Hamburg Dulsberg","Alter Teichweg","290","9"
"2er WG","Hamburg Dulsberg","Tondernstieg 8","477","16"
"6er WG","Hamburg Gro?hansdorf","Himmelshorst 27","375","17"
"3er WG","Hamburg Lurup","Luruper Hauptstraße 76","469","11"
"3er WG","Hamburg Horn","Pagenfelder Straße 26","529","15"
"4er WG","Hamburg Wandsbek","Kedenburgstraße 31","499","10"
"4er WG","Hamburg Harburg","Martin-Leuschel-Ring 10a","415","22"
"6er WG","Hamburg Heimfeld","Feldnerstraße 2","509","8"
"6er WG","Hamburg Heimfeld","Feldnerstraße 2","509","9"
"2er WG","Hamburg Stellingen","Flaßheide","480","14"
"4er WG","Hamburg Heimfeld","Feldnerstraße 2","499","11"
"4er WG","Hamburg Heimfeld","Feldnerstraße 2","499","13"
"4er WG","Hamburg Lokstedt","Lokstedter Steindamm 44","549","20"
"6er WG","Hamburg Harburg","Eißendorferstraße","489","16"
"5er WG","Hamburg Harburg","Buxtehuder Straße 26","499","14"
"4er WG","Hamburg St. Georg","Norderstraße 143","579","15"
"4er WG","Hamburg St. Georg","Norderstraße 143","649","18"
"4er WG","Hamburg St. Georg","Norderstraße 143","619","10"
"1-Zimmer-Wohnung","Hamburg Winterhude","Dorotheenstraße 5","645","150"
"3er WG","Hamburg Winterhude","Dorotheenstraße 3","645","15"
"3er WG","Hamburg Heimfeld","Grumbrechtstraße 50","529","16"
"4er WG","Hamburg Harburg","Am Centrumshaus 5","529","14"
"3er WG","Hamburg Horn","Grosseweg 12","449","8"
"3er WG","Hamburg Horn","Grosseweg 16","519","10"
"4er WG","Hamburg Billstedt","Druckerstraße 17","539","13"
"5er WG","Hamburg Heimfeld","Heimfelder Straße 27","559","15"
"5er WG","Hamburg Heimfeld","Heimfelder Straße 27","549","14"
"5er WG","Hamburg Lurup","Jevenstedter Str. 89","410","15"
"3er WG","Hamburg Hamm","Caspar-Voght-Straße 63","569","16"
"3er WG","Hamburg Eilbek","Seumestraße 17","569","12"
"4er WG","Hamburg Eppendorf","Lembekstraße 13","559","11"
"4er WG","Hamburg Eppendorf","Lembekstraße 13","569","12"
"4er WG","Hamburg Harburg","Julius-Ludowieg-Straße 41","400","15"
"2er WG","Hamburg St. Pauli","Detlev-Bremer-Straße","550","12"
"2er WG","Hamburg Eimsbüttel","Osterstr.","500","15"
"6er WG","Hamburg Wandsbek","Kramerkoppel","535","17"
"2er WG","Hamburg Lokstedt","Vogt-Wells-Str","649","17"
"5er WG","Hamburg Harvestehude","Jungfrauenthal","690","28"
"1-Zimmer-Wohnung","Hamburg Altona-Nord","Kieler Straße 3","740","21"
"2er WG","Hamburg Horner Rennbahn","Horner Weg","450","12"
"2er WG","Hamburg Barmbek-Süd","Hufnerstraße","460","14"
"2er WG","Hamburg Eimsbüttel","langenfelder damm 8","530","14"
"3er WG","Hamburg Bramfeld","Mützendorpsteed 50","540","22"
"3er WG","Hamburg Bramfeld","Mützendorpsteed 50","540","22"
"2er WG","Hamburg Hamm-Mitte","Carl-Petersen-Straße","490","18"
"2er WG","Hamburg Neustadt","Großneumarkt","580","10"
"2er WG","Hamburg Eidelstedt","Kieler Straße 711","450","20"
"2er WG","Hamburg Altona-Altstadt","Haubachstraße 46","550","13"
"2er WG","Hamburg Bezirk Eimsbüttel","Nahe Elbgaubahn 1234","294","16"
"3er WG","Hamburg Veddel","Eishövel 18","410","25"
"2er WG","Hamburg Eppendorf","Erikastraße","530","12"
