"type","city","street","cost","area"
"6er WG","Kaiserslautern Innenstadt","Kerst str.18","380","15"
"4er WG","Kaiserslautern Innenstadt","Schmied str 1.a","380","20"
"3er WG","Kaiserslautern Innenstadt","Rudolf-Breitscheid-Str. 74","350","15"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Ziegelstraße. 59","290","18"
"4er WG","Kaiserslautern Innenstadt","Richard-Wagner-Straße","205","18"
"3er WG","Kaiserslautern Innenstadt","Rosenstrasse 57","330","14"
"3er WG","Kaiserslautern Innenstadt","Friedrichstraße","330","20"
"4er WG","Kaiserslautern Innenstadt","Bremerstraße","425","18"
"4er WG","Kaiserslautern Innenstadt","Trippstadter Straße, 25","315","23"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Kleestr. 7","475","43"
"3er WG","Kaiserslautern Innenstadt","Fruchthallstraße","300","20"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Kurt-Schumacher-Straße, 32","410","33"
"1-Zimmer-Wohnung","Kaiserslautern Kaiserslautern","Bismarckstrasse 4","380","23"
"1-Zimmer-Wohnung","Kaiserslautern Hohenecken","Im Grundbirngarten22","550","20"
"4er WG","Kaiserslautern Imsweiler - 25 km nördlic...","Raiffeisenstr.","320","23"
"4er WG","Kaiserslautern Imsweiler - 25 km nördlic...","Raiffeisenstraße","300","20"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Ziegelstr.59","370","21"
"3er WG","Kaiserslautern Innenstadt","Lauterstraße 12","345","23"
"4er WG","Kaiserslautern Kaiserslautern","Kurt-Schumacher-Straße, 8...","260","200"
"3er WG","Kaiserslautern Innenstadt","St.-Marien-Platz 5","190","18"
"3er WG","Kaiserslautern Innenstadt","St.-Marien-Platz 5","170","12"
"4er WG","Kaiserslautern Innenstadt","Logenstraße 18a","295","21"
"3er WG","Kaiserslautern Innenstadt","Burgstraße, 15","270","21"
"4er WG","Kaiserslautern Innenstadt","Eisenbahnstr. 60","410","23"
"5er WG","Kaiserslautern Innenstadt","Kanalstraße 27","500","24"
"5er WG","Kaiserslautern Innenstadt","Kanalstraße 27","460","18"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Tripsstadter strasse, 115","449","24"
"4er WG","Kaiserslautern Innenstadt","Lutrinastr. 23","320","25"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Alex-Müller-Straße","268","16"
"9er WG","Kaiserslautern Innenstadt","Gabelsbergerstr. 9","300","21"
"3er WG","Kaiserslautern Innenstadt","Karl-Marx-Str. 17","325","18"
"6er WG","Kaiserslautern Innenstadt","Gersweilerweg 7","480","34"
