"type","city","street","cost","area"
"2er WG","München Giesing","Kesselbergstraße 4","785","18"
"1-Zimmer-Wohnung","München Schwanthalerhöhe-Laim","Laimer Platz 1a","1150","35"
"3er WG","München Bogenhausen","Prinzregentenstraße 152","850","22"
"4er WG","München Bogenhausen","Lützenkirchenstraße","950","25"
"3er WG","München Schwabing-West","Haimhauserstraße 5","550","15"
"2er WG","München Schwabing-West","near tante emma cafe on b...","26","22"
"8er WG","München Altstadt-Lehel","Münzstraße 8","300","14"
"3er WG","München Schwanthalerhöhe-Laim","Geyerspergerstraße 57","800","15"
"3er WG","München Haar","Schneiderhofstr 15","599","16"
"3er WG","München Harlaching","Nähe Mangfallplatz","600","18"
"3er WG","München Maxvorstadt","Heßstraße 33","660","15"
"1-Zimmer-Wohnung","München Pasing","Fouquestraße 1","905","28"
"3er WG","München Maxvorstadt","Schraudolphstr.","580","16"
"4er WG","München Sendling","Kyreinstraße","365","8"
"2er WG","München Neuhausen-Nymphenburg","Baldurstr. 5","585","18"
"3er WG","München Giesing","Hohenwaldeckstraße","610","13"
"2er WG","München Untergiesing-Harlaching","Brehmstraße 0","550","22"
"5er WG","München Untergiesing-Harlaching","Grünwalderstr. 119","540","15"
"2er WG","München Altstadt-Lehel","Liebigstraße","650","18"
"5er WG","München Obergiesing","Schwarzenbacher Str. 24","795","30"
"2er WG","München Altstadt-Lehel","Liebigstraße","650","18"
"5er WG","München Obergiesing","Schwarzenbacher Str. 24","795","30"
"3er WG","München Au-Haidhausen","Wörthstraße","600","17"
"5er WG","München Alt-Schwabing","Occamstr. 26 c","745","20"
"3er WG","München Obergiesing","Wirtstr","660","14"
"3er WG","München Obergiesing","Wirtstr","660","14"
"1-Zimmer-Wohnung","München Schwabing-West","Karl-Theodor-Str 97","1385","40"
"3er WG","München Sendling","Schmied-Kochel-Str.19","583","16"
"5er WG","München Obergiesing","Landfriedstr.","625","9"
"2er WG","München Bogenhausen","Lisztstraße 20","750","18"
"3er WG","München Sendling","Schmied-Kochel-Straße 19","710","14"
"3er WG","München Schwabing Mitte","Kunigundenstr. 2 c","1190","42"
"3er WG","München CityNahTheresienwiesembli...","Implerstrasse","40","14"
"14er WG","München Pasing-Obermenzing","Lanzlottstr. 8","560","14"
"14er WG","München Hadern","Schachblumenweg 18","780","21"
"2er WG","München Ramersdorf-Perlach","PN 12345","450","27"
"4er WG","München Untergiesing-Harlaching","Frage 123","530","35"
"3er WG","München Obergiesing","Deisenhofener Straße 17","614","12"
"6er WG","München Maxvorstadt","Königinstraße 49","320","20"
"10er WG","München Maxvorstadt","Königinstraße 49","200","20"
"1-Zimmer-Wohnung","München Ramersdorf-Perlach","Friedrich-Engels-Bogen 3","899","26"
"4er WG","München Pasing-Obermenzing","Maria-Eich Straße 10a","633","13"
"1-Zimmer-Wohnung","München Untergiesing","Pilgersheimerstr. 46","400","30"
"4er WG","München Maxvorstadt","Adamstraße","560","18"
"2er WG","München Berg am Laim","Baldhamerstr. 13","350","10"
"2er WG","München Milbertshofen-Am Hart","Neustifter Str. 4","570","16"
"1-Zimmer-Wohnung","München Bogenhausen","Regina-Ullmann-Str. 38","580","16"
"3er WG","München Feldkirchen/München","Hohenlindner Str.","480","17"
"1-Zimmer-Wohnung","München Ludwigsvorstadt-Isarvorstadt","Hermann-Lingg-Straße 16","1390","44"
"2er WG","München Schwabing-West","Winzererstraße 134","570","12"
